Method,Test#,Article ID,Update Time,Duration(ms),Success,Note
Step1,1,sl0j3_4uf6,2026-07-26T00:04:33.712Z,80,true,
Step1,3,sl0j3_4uf6,2026-07-26T00:04:42.967Z,37,true,
Step1,5,sl0j3_4uf6,2026-07-26T00:04:52.095Z,59,true,
Step1,7,sl0j3_4uf6,2026-07-26T00:05:00.967Z,36,true,
Step1,9,sl0j3_4uf6,2026-07-26T00:05:10.033Z,38,true,
Step1,1,sl0j3_4uf6,2026-07-26T00:14:02.548Z,57,true,
Step1,3,sl0j3_4uf6,2026-07-26T00:14:11.870Z,37,true,
Step1,5,sl0j3_4uf6,2026-07-26T00:14:21.590Z,36,true,
Step1,7,sl0j3_4uf6,2026-07-26T00:14:30.585Z,38,true,
Step1,9,sl0j3_4uf6,2026-07-26T00:14:39.552Z,43,true,
Step1,1,sl0j3_4uf6,2026-07-26T02:43:51.408Z,65,true,
Step1,3,sl0j3_4uf6,2026-07-26T02:44:00.347Z,40,true,
Step1,5,sl0j3_4uf6,2026-07-26T02:44:08.735Z,44,true,
Step1,7,sl0j3_4uf6,2026-07-26T02:44:17.050Z,39,true,
Step1,9,sl0j3_4uf6,2026-07-26T02:44:25.085Z,40,true,
Step1,1,sl0j3_4uf6,2026-07-26T06:27:40.860Z,68,true,
Step2,2,ticket-summer2026,2026-07-26T06:27:45.935Z,320,true,
Step1,3,sl0j3_4uf6,2026-07-26T06:27:51.613Z,44,true,
Step2,4,ticket-summer2026,2026-07-26T06:27:56.885Z,313,true,
Step1,5,sl0j3_4uf6,2026-07-26T06:28:02.763Z,52,true,
Step2,6,ticket-summer2026,2026-07-26T06:28:08.150Z,331,true,
Step1,7,sl0j3_4uf6,2026-07-26T06:28:13.722Z,54,true,
Step2,8,ticket-summer2026,2026-07-26T06:28:18.594Z,276,true,
Step1,9,sl0j3_4uf6,2026-07-26T06:28:24.668Z,59,true,
Step2,10,ticket-summer2026,2026-07-26T06:28:29.656Z,318,true,
Step1,1,sl0j3_4uf6,2026-07-26T08:08:46.977Z,80,,,true,
Step2,2,ticket-summer2026,2026-07-26T08:08:52.099Z,229,229,,true,
Step1,3,sl0j3_4uf6,2026-07-26T08:08:57.471Z,60,,,true,
Step2,4,ticket-summer2026,2026-07-26T08:09:02.264Z,318,317,,true,
Step1,5,sl0j3_4uf6,2026-07-26T08:09:08.239Z,52,,,true,
Step2,6,ticket-summer2026,2026-07-26T08:09:13.231Z,225,224,,true,
Step1,7,sl0j3_4uf6,2026-07-26T08:09:18.904Z,40,,,true,
Step2,8,ticket-summer2026,2026-07-26T08:09:24.586Z,226,226,,true,
Step1,9,sl0j3_4uf6,2026-07-26T08:09:30.769Z,36,,,true,
Step2,10,ticket-summer2026,2026-07-26T08:09:35.850Z,322,321,,true,
Step1,1,sl0j3_4uf6,2026-07-26T08:11:22.736Z,49,,,true,
Step2,2,ticket-summer2026,2026-07-26T08:11:28.494Z,-1,,,false,Latest deployment failed (build:failure)
Step1,3,sl0j3_4uf6,2026-07-26T08:11:40.004Z,41,,,true,
Step2,4,ticket-summer2026,2026-07-26T08:11:45.081Z,-1,,,false,Latest deployment failed (build:failure)
Step1,5,sl0j3_4uf6,2026-07-26T08:11:55.933Z,40,,,true,
Step2,6,ticket-summer2026,2026-07-26T08:12:01.057Z,-1,,,false,Latest deployment failed (build:failure)
Step1,7,sl0j3_4uf6,2026-07-26T08:12:11.953Z,41,,,true,
Step2,8,ticket-summer2026,2026-07-26T08:12:16.624Z,-1,,,false,Latest deployment failed (build:failure)
Step1,9,sl0j3_4uf6,2026-07-26T08:12:32.934Z,47,,,true,
Step2,10,ticket-summer2026,2026-07-26T08:12:38.023Z,-1,,,false,Latest deployment failed (build:failure)
Step1,1,sl0j3_4uf6,2026-07-26T09:17:46.691Z,103,,,true,
Step2,2,ticket-summer2026,2026-07-26T09:17:52.269Z,-1,,,false,Latest deployment failed (build:failure)
Step1,3,sl0j3_4uf6,2026-07-26T09:18:03.152Z,55,,,true,
Step2,4,ticket-summer2026,2026-07-26T09:18:08.139Z,-1,,,false,Latest deployment failed (build:failure)
Step1,5,sl0j3_4uf6,2026-07-26T09:18:19.036Z,45,,,true,
Step2,6,ticket-summer2026,2026-07-26T09:18:24.112Z,-1,,,false,Latest deployment failed (build:failure)
Step1,7,sl0j3_4uf6,2026-07-26T09:18:40.329Z,39,,,true,
Step2,8,ticket-summer2026,2026-07-26T09:18:45.309Z,-1,,,false,Latest deployment failed (build:failure)
Step1,9,sl0j3_4uf6,2026-07-26T09:18:56.247Z,41,,,true,
Step2,10,ticket-summer2026,2026-07-26T09:19:01.388Z,-1,,,false,Latest deployment failed (build:failure)
Step1,1,sl0j3_4uf6,2026-07-26T09:23:33.480Z,60,,,true,
Step2,2,ticket-summer2026,2026-07-26T09:23:38.380Z,-1,,,false,Cloudflare Pages build command is empty. Set build command to "npm ci && npm run build" in the Pages project settings.
Step1,3,sl0j3_4uf6,2026-07-26T09:23:41.380Z,42,,,true,
Step2,4,ticket-summer2026,2026-07-26T09:23:46.190Z,-1,,,false,Cloudflare Pages build command is empty. Set build command to "npm ci && npm run build" in the Pages project settings.
Step1,5,sl0j3_4uf6,2026-07-26T09:23:49.197Z,40,,,true,
Step2,6,ticket-summer2026,2026-07-26T09:23:54.082Z,-1,,,false,Cloudflare Pages build command is empty. Set build command to "npm ci && npm run build" in the Pages project settings.
Step1,7,sl0j3_4uf6,2026-07-26T09:23:57.083Z,36,,,true,
